,name,min_salary,max_salary,currency,vacancy_url,site_url,company,address
705,Специалист DevOps,,,,https://belgorod.hh.ru/vacancy/51911001?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Сбер для экспертов,Москва
706,Data-аналитик (Анализ цены),,,,https://belgorod.hh.ru/vacancy/53032262?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Домклик,Москва
707,Scala разработчик,,,,https://belgorod.hh.ru/vacancy/51882397?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Сбер. IT,Москва
708,DevOps специалист (удалённая работа),200000.0,,руб.,https://belgorod.hh.ru/vacancy/50931935?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,EGGНEADS,Москва
709,QA engineer,,,,https://belgorod.hh.ru/vacancy/50585453?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Сбер. IT,Москва
710,Преподаватель курсов программирования (удалённо),,100000.0,руб.,https://belgorod.hh.ru/vacancy/53092413?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Школа программирования Kodland,Москва
711,QA специалист в команду Биллинга,,,,https://belgorod.hh.ru/vacancy/47251783?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,ООО HeadHunter::QA,Москва
712,Junior разработчик Python Django,40000.0,80000.0,руб.,https://belgorod.hh.ru/vacancy/52203762?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,ООО Инсейлс Рус,"Москва, Комсомольская"
713,Python разработчик,,380000.0,руб.,https://belgorod.hh.ru/vacancy/49590587?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Точка,Москва
714,Junior Data Engineer (Python),150000.0,190000.0,руб.,https://belgorod.hh.ru/vacancy/50637406?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,DataFork,"Москва, Выставочная и еще 2 "
715,"Python-разработчик (Django, DRF)",60000.0,150000.0,руб.,https://belgorod.hh.ru/vacancy/39736489?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,ООО Фабрика Решений,"Москва, Сухаревская"
716,Разработчик Python удаленно,200000.0,,руб.,https://belgorod.hh.ru/vacancy/52878410?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,ООО Доверенная среда,Москва
717,Python backend разработчик,190000.0,250000.0,руб.,https://belgorod.hh.ru/vacancy/52296926?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,UAB Softeka,Москва
718,Программист Python,200000.0,270000.0,руб.,https://belgorod.hh.ru/vacancy/52545351?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Seller24,Москва
